entry_time,exit_time,entry_price,exit_price,side,quantity,position_value,stop_loss,take_profit,pnl_pct,pnl_usd,result,symbol,timeframe,strategy_name,signal_id,pattern_type,commission,slippage,bars_held,metadata
2021-02-06T20:00:00+00:00,2021-02-08T12:00:00+00:00,40975.987755,44779.08461446429,LONG,0.02440453677356386,1000.0,37109.53464285714,44801.48535714286,9.081281716022152,90.81281716022153,WIN,BTCUSDT,4h,QML_ATR_v2.0.0,d1980b2c,QML_BULLISH,0.1,0.0,,"{'head_price': np.float64(38600.0), 'head_time': '2021-02-06 04:00:00+00:00', 'head_bar_index': 198, 'left_shoulder_price': np.float64(39666.0), 'left_shoulder_time': '2021-02-06 00:00:00+00:00', 'right_shoulder_price': np.float64(40955.51), 'right_shoulder_time': '2021-02-06 16:00:00+00:00', 'head_depth_atr': np.float64(1.0728192992457046), 'shoulder_diff_pct': np.float64(3.25), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'take_profit'}"
2021-02-09T08:00:00+00:00,2021-02-20T12:00:00+00:00,48166.261095,56658.22528714286,LONG,0.020949960797782826,1009.0812817160222,39597.81142857143,56686.56857142857,17.43052393747951,175.88815435813632,WIN,BTCUSDT,4h,QML_ATR_v2.0.0,97f5b64a,QML_BULLISH,0.1,0.0,,"{'head_price': np.float64(42521.62), 'head_time': '2021-02-08 16:00:00+00:00', 'head_bar_index': 213, 'left_shoulder_price': np.float64(44918.0), 'left_shoulder_time': '2021-02-08 12:00:00+00:00', 'right_shoulder_price': np.float64(48142.19), 'right_shoulder_time': '2021-02-09 04:00:00+00:00', 'head_depth_atr': np.float64(1.229413592642863), 'shoulder_diff_pct': np.float64(7.18), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'take_profit'}"
2021-02-20T16:00:00+00:00,2021-02-22T12:00:00+00:00,57729.310229999995,53011.716596428574,LONG,0.017784208629229553,1026.6700971518358,53038.235714285714,62362.684285714284,-8.371921013391642,-85.95200960166292,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,405e2c33,QML_BULLISH,0.1,0.0,,"{'head_price': np.float64(55030.0), 'head_time': '2021-02-20 08:00:00+00:00', 'head_bar_index': 283, 'left_shoulder_price': np.float64(56609.14), 'left_shoulder_time': '2021-02-20 00:00:00+00:00', 'right_shoulder_price': np.float64(57700.46), 'right_shoulder_time': '2021-02-20 12:00:00+00:00', 'head_depth_atr': np.float64(1.189252170545138), 'shoulder_diff_pct': np.float64(1.93), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
2021-02-23T12:00:00+00:00,2021-03-13T08:00:00+00:00,44870.11372,59234.19836946429,SHORT,0.022689376330639475,1018.0748961916696,59204.596071428576,30580.52392857142,-32.21258802039045,-327.94827204924024,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,43b9b46f,QML_BEARISH,0.1,0.0,,"{'head_price': np.float64(54989.46), 'head_time': '2021-02-22 20:00:00+00:00', 'head_bar_index': 298, 'left_shoulder_price': np.float64(47622.0), 'left_shoulder_time': '2021-02-22 12:00:00+00:00', 'right_shoulder_price': np.float64(44892.56), 'right_shoulder_time': '2021-02-23 08:00:00+00:00', 'head_depth_atr': np.float64(2.621787247844311), 'shoulder_diff_pct': np.float64(5.73), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
2021-03-13T08:00:00+00:00,2021-03-13T12:00:00+00:00,56050.190885,60088.686828750004,SHORT,0.01757853190916471,985.2800689867456,60058.6575,52097.802500000005,-7.405142177010447,-72.96138995021514,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,d19c5d2b,QML_BEARISH,0.1,0.0,,"{'head_price': np.float64(57768.0), 'head_time': '2021-03-12 16:00:00+00:00', 'head_bar_index': 405, 'left_shoulder_price': np.float64(54962.84), 'left_shoulder_time': '2021-03-12 12:00:00+00:00', 'right_shoulder_price': np.float64(56078.23), 'right_shoulder_time': '2021-03-13 00:00:00+00:00', 'head_depth_atr': np.float64(1.8369136372417105), 'shoulder_diff_pct': np.float64(2.03), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
2021-03-14T08:00:00+00:00,2021-03-16T00:00:00+00:00,61874.922,53906.36726160715,LONG,0.015805820813668648,977.9839299917242,53933.33392857143,69754.66607142857,-13.078488539173996,-127.90551619893108,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,c330bab4,QML_BULLISH,0.1,0.0,,"{'head_price': np.float64(56078.23), 'head_time': '2021-03-13 00:00:00+00:00', 'head_bar_index': 407, 'left_shoulder_price': np.float64(57768.0), 'left_shoulder_time': '2021-03-12 16:00:00+00:00', 'right_shoulder_price': np.float64(61844.0), 'right_shoulder_time': '2021-03-13 20:00:00+00:00', 'head_depth_atr': np.float64(1.1817145985594686), 'shoulder_diff_pct': np.float64(7.06), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
2021-03-16T04:00:00+00:00,2021-04-02T00:00:00+00:00,53244.70432999999,60169.571536607145,SHORT,0.018127500011827582,965.193378371831,60139.50178571429,46403.178214285705,-13.20573886876752,-127.46091712641925,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,e0564798,QML_BEARISH,0.1,0.0,,"{'head_price': np.float64(57312.47), 'head_time': '2021-03-15 12:00:00+00:00', 'head_bar_index': 422, 'left_shoulder_price': np.float64(54600.0), 'left_shoulder_time': '2021-03-15 08:00:00+00:00', 'right_shoulder_price': np.float64(53271.34), 'right_shoulder_time': '2021-03-16 00:00:00+00:00', 'head_depth_atr': np.float64(1.4392144511993847), 'shoulder_diff_pct': np.float64(2.43), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
2021-04-02T12:00:00+00:00,2021-04-07T08:00:00+00:00,60230.1,56354.056019285716,LONG,0.015813476760941608,952.4472866591891,56382.247142857144,64017.752857142856,-6.635393566861558,-63.1986259867313,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,6659b81b,QML_BULLISH,0.1,0.0,,"{'head_price': np.float64(57935.45), 'head_time': '2021-04-01 16:00:00+00:00', 'head_bar_index': 525, 'left_shoulder_price': np.float64(59263.3), 'left_shoulder_time': '2021-04-01 12:00:00+00:00', 'right_shoulder_price': np.float64(60200.0), 'right_shoulder_time': '2021-04-02 00:00:00+00:00', 'head_depth_atr': np.float64(1.2823662993151541), 'shoulder_diff_pct': np.float64(1.58), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
2021-04-07T08:00:00+00:00,2021-04-07T16:00:00+00:00,58684.3275,55576.51569821429,LONG,0.016122318587710082,946.1274240605159,55604.31785714286,61705.68214285714,-5.495812245246761,-51.99738682715557,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,f82e8601,QML_BULLISH,0.1,0.0,,"{'head_price': np.float64(57161.86), 'head_time': '2021-04-07 00:00:00+00:00', 'head_bar_index': 557, 'left_shoulder_price': np.float64(58311.91), 'left_shoulder_time': '2021-04-06 20:00:00+00:00', 'right_shoulder_price': np.float64(58655.0), 'right_shoulder_time': '2021-04-07 04:00:00+00:00', 'head_depth_atr': np.float64(1.1075623269079184), 'shoulder_diff_pct': np.float64(0.59), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
2021-04-07T20:00:00+00:00,2021-04-10T04:00:00+00:00,55445.2635,60265.5327075,SHORT,0.01697038892019695,940.9276853778003,60235.415,50710.585,-8.893743889412665,-83.68369852208015,LOSS,BTCUSDT,4h,QML_ATR_v2.0.0,d4a7884e,QML_BEARISH,0.1,0.0,,"{'head_price': np.float64(58655.0), 'head_time': '2021-04-07 04:00:00+00:00', 'head_bar_index': 558, 'left_shoulder_price': np.float64(57161.86), 'left_shoulder_time': '2021-04-07 00:00:00+00:00', 'right_shoulder_price': np.float64(55473.0), 'right_shoulder_time': '2021-04-07 16:00:00+00:00', 'head_depth_atr': np.float64(1.4171657444405412), 'shoulder_diff_pct': np.float64(2.95), 'detector_version': '2.0.0', 'detection_method': 'atr_directional_change', 'exit_reason': 'stop_loss'}"
