detection_time,symbol,outcome,pattern_type,vol_ratio,vol_trend_ratio,obv_slope,vol_spike,vol_consistency,trend_strength,price_position,dist_from_ema20,dist_from_ema50,dist_from_sma100,ma_alignment,rsi,rsi_extreme,momentum_5,momentum_10,momentum_20,atr_percentile,vol_trend,vol_percentile,bb_width,hour_of_day,day_of_week,pattern_bullish
2023-01-11 05:00:00+00:00,XRP/USDT,1,bullish,2.5601869789792335,0.9310007839101702,-0.999959017663036,2.794584902365022,0.7019051388061052,21.5646312420108,0.7903222619668304,0.027797305378579974,0.03440361503126463,0.04407938257993371,1,67.09047835265477,0,0.03509272467903005,0.026598754951895925,0.03983949555746639,0.8713153077365292,1.1621203787526866,0.9999988923268316,0.04596438321718327,5,2,1
2023-01-17 15:00:00+00:00,AVAX/USDT,0,bullish,4.639941334618579,0.9341597774445246,0.12137220155747616,5.734468641492538,1.1240660319218385,24.404343926228538,0.7860465079718766,0.04324915590775962,0.052938746309312126,0.061115492957746556,1,71.09006670912636,1,0.055291319857312705,0.04719764011799414,0.056547619047619006,0.20824609681541373,1.0395122258915914,0.40241493839004777,0.05041852692617884,15,1,1
2023-01-17 20:00:00+00:00,LINK/USDT,0,bullish,1.7980380387402304,0.8346850048412124,0.23193235945458118,1.8647973317259399,0.6393464375941292,14.838437568610116,0.8598130680408769,0.019222733965496407,0.022916449979568047,0.021037392696057033,0,65.83645975704232,0,0.02307234295921409,0.029046264410839937,0.032136957501126356,0.34354594185984383,0.08916042098696933,0.09602663127166088,0.02223076442906996,20,1,1
2023-01-18 02:00:00+00:00,DOGE/USDT,1,bullish,4.175840738485355,0.9906319068069042,0.15496595786420325,5.156712943116891,0.8892600430776123,17.28070106685643,0.8230076356819526,0.03343399290101961,0.0328139011719252,0.021625157810168744,-1,71.3165106111357,1,0.04085533389081343,0.042973425903758626,0.0404824456651541,0.19965774590012034,1.162504746273699,0.3018733708545716,0.033610656996943176,2,2,1
2023-01-18 14:00:00+00:00,DOT/USDT,1,bullish,3.829138339206505,0.8481529673030392,0.16254658820725165,4.434737623445179,0.5630827328659537,19.90556801988732,0.9230769079692818,0.026880007995215234,0.033657980254417325,0.03672983479105916,1,66.28207115925653,0,0.04079568442346594,0.023032311516155795,0.014626129827444604,0.12795446373063984,0.7624422650171636,0.15405626247669196,0.033613439319746335,14,2,1
2023-01-18 16:00:00+00:00,ADA/USDT,1,bearish,5.815105620000787,1.2525367556769955,-0.15791484705439118,7.990909135164111,0.7923358611937511,17.751178737928672,0.24778753752580077,-0.04488248877721325,-0.0501018308433659,-0.05299307437518829,-1,28.349605412329907,1,-0.04293948126801144,-0.05465414175918017,-0.05920679886685545,0.4658933119081285,1.1446599488473137,0.522103502846394,0.044872059725830415,16,2,0
2023-01-18 16:00:00+00:00,AVAX/USDT,0,bearish,4.81193314891647,0.9827452561072438,-0.09776299592757129,6.047992655272259,0.8325622757658557,23.009517559693755,0.23985239763892044,-0.049840173429009524,-0.05101671846419025,-0.043962848297213676,0,31.068025617764278,0,-0.042111506524317964,-0.05830903790087464,-0.07924743443557586,0.3942308667823931,-0.0023883959025486072,0.4633074786588536,0.05385896294490384,16,2,0
2023-01-18 17:00:00+00:00,DOGE/USDT,0,bearish,1.6411671752846442,1.7251540244091517,-0.25330170109151484,1.7701247455778357,0.9585641875273174,28.50671202555148,0.35284251434572356,-0.037736804800032046,-0.03555054477498424,-0.03637771275298715,0,37.06731702532612,0,-0.05135322692574601,-0.05810748736793763,-0.020188746864174063,0.8257265170149741,0.6556370755562168,0.8001109682943943,0.06449300460745246,17,2,0
2023-01-18 17:00:00+00:00,BNB/USDT,0,bearish,3.625548439054538,1.5168399977902103,-0.19194669354206118,4.384862357400032,1.91122931669229,20.210881185796524,0.49797570830041304,-0.02036206133793086,-0.02343475462365426,-0.025334014996591856,-1,34.34407706407626,0,-0.027833001988071683,-0.02686567164179112,-0.029440952695997464,0.8210636103445793,1.3040234057544997,0.5548895876124683,0.03178513639405108,17,2,0
2023-01-18 17:00:00+00:00,LINK/USDT,0,bearish,2.504158109371993,1.2791708968301265,-0.13542203280195322,2.6837192212938312,0.9523509047214213,21.524170894475105,0.309878209609226,-0.03862738854840262,-0.04077343772571599,-0.04026985350809557,0,33.773080245264225,0,-0.04505963775585334,-0.05466472303206997,-0.06998422486734542,0.9798770029872514,0.7687201658021383,0.802344451705615,0.054432599115512556,17,2,0
2023-01-18 21:00:00+00:00,LTC/USDT,0,bearish,1.8326680207419,1.2223491774539057,-0.036083969016315,1.9655800173997753,1.0550184880937834,25.677817600439994,0.2046703293891884,-0.023079592299188614,-0.03168704193613204,-0.03826794258373212,-1,32.21021582341433,0,-0.005708848715509087,-0.031398447456841706,-0.04945992040932357,0.6410530710046399,0.29094366275903566,0.3904668081317207,0.027285032433575385,21,2,0
2023-01-19 13:00:00+00:00,BTC/USDT,0,bearish,1.5220964191658453,0.7520994253363857,0.02135045572615791,1.3639265719029674,0.6161198309705834,30.035453475655917,0.29754193989381206,-0.0025921513710798517,-0.007904311219727785,-0.012227097817533502,-1,42.36455523741828,0,0.0003798920124454076,0.0013933846281383618,-0.00530930660647208,0.08282625522506189,-0.4746284762845223,0.06492537838064436,0.011524280184237122,13,3,0
