symbol,detection_time,regime_label,actual_outcome,trend_strength,atr_percentile,vol_trend,rsi,vol_ratio,vol_trend_ratio,price_position,momentum_20,pattern_bullish
BTC/USDT,2025-01-13 11:00:00+00:00,0,0,19.379451395996856,0.45568751324553763,0.24860997856186492,21.078642926503193,4.278772832796886,1.6800827909604041,0.0035442383607937455,-0.0443946108156037,0
BTC/USDT,2025-01-14 13:00:00+00:00,0,1,29.627844533374923,0.6527368353692294,-0.10933102671494335,64.03124144349343,2.1694695596592397,0.9130568708706625,0.8724475648565652,0.04731303153288892,1
BTC/USDT,2025-01-20 00:00:00+00:00,0,1,23.29152705322125,0.9999999999864937,1.17386358878374,25.672523021328885,2.5670135587465506,1.5097098858419928,0.035578390758383746,-0.04986593137350582,0
BTC/USDT,2025-01-14 13:00:00+00:00,0,1,29.627844533374923,0.6527368353692294,-0.10933102671494335,64.03124144349343,2.1694695596592397,0.9130568708706625,0.8724475648565652,0.04731303153288892,1
BTC/USDT,2025-01-23 02:00:00+00:00,0,1,26.647325951062196,0.1047979682020954,0.0804340549852345,34.29918763829578,1.8248808397688216,0.7655160346881296,0.356133376954948,-0.025853813932668897,0
BTC/USDT,2025-01-14 13:00:00+00:00,0,1,29.627844533374923,0.6527368353692294,-0.10933102671494335,64.03124144349343,2.1694695596592397,0.9130568708706625,0.8724475648565652,0.04731303153288892,1
BTC/USDT,2025-01-23 02:00:00+00:00,0,1,26.647325951062196,0.1047979682020954,0.0804340549852345,34.29918763829578,1.8248808397688216,0.7655160346881296,0.356133376954948,-0.025853813932668897,0
BTC/USDT,2025-01-23 02:00:00+00:00,0,1,26.647325951062196,0.1047979682020954,0.0804340549852345,34.29918763829578,1.8248808397688216,0.7655160346881296,0.356133376954948,-0.025853813932668897,0
BTC/USDT,2025-01-30 14:00:00+00:00,0,0,33.34780623994971,0.463588980129781,0.06534950986212909,69.97681790606268,1.9629902960621675,1.1716973074673074,0.9493209399251206,0.029813284150420893,1
BTC/USDT,2025-02-05 22:00:00+00:00,0,0,16.62504265948386,0.38875996193837536,-0.40005372816789464,36.91749742979583,2.227051289097522,0.7901116263558436,0.04655583219546731,-0.01580056083031215,0
BTC/USDT,2025-02-05 22:00:00+00:00,0,0,16.62504265948386,0.38875996193837536,-0.40005372816789464,36.91749742979583,2.227051289097522,0.7901116263558436,0.04655583219546731,-0.01580056083031215,0
BTC/USDT,2025-02-07 15:00:00+00:00,0,0,19.61380464989259,0.2573903729560257,0.20284690348243786,55.414117013735144,4.3811845952188415,1.0508248030906235,0.5844284801672474,0.023972786847670898,1
BTC/USDT,2025-02-05 22:00:00+00:00,0,0,16.62504265948386,0.38875996193837536,-0.40005372816789464,36.91749742979583,2.227051289097522,0.7901116263558436,0.04655583219546731,-0.01580056083031215,0
BTC/USDT,2025-02-07 15:00:00+00:00,0,0,19.61380464989259,0.2573903729560257,0.20284690348243786,55.414117013735144,4.3811845952188415,1.0508248030906235,0.5844284801672474,0.023972786847670898,1
BTC/USDT,2025-02-05 22:00:00+00:00,0,0,16.62504265948386,0.38875996193837536,-0.40005372816789464,36.91749742979583,2.227051289097522,0.7901116263558436,0.04655583219546731,-0.01580056083031215,0
BTC/USDT,2025-02-07 15:00:00+00:00,0,0,19.61380464989259,0.2573903729560257,0.20284690348243786,55.414117013735144,4.3811845952188415,1.0508248030906235,0.5844284801672474,0.023972786847670898,1
BTC/USDT,2025-02-05 22:00:00+00:00,0,0,16.62504265948386,0.38875996193837536,-0.40005372816789464,36.91749742979583,2.227051289097522,0.7901116263558436,0.04655583219546731,-0.01580056083031215,0
BTC/USDT,2025-02-07 15:00:00+00:00,0,0,19.61380464989259,0.2573903729560257,0.20284690348243786,55.414117013735144,4.3811845952188415,1.0508248030906235,0.5844284801672474,0.023972786847670898,1
BTC/USDT,2025-03-13 14:00:00+00:00,0,0,10.407855701989075,0.36651036999905834,-0.4251107562356026,41.208239540629286,1.8543483272559802,0.6366780801288113,0.5384131269543334,-0.007493524040321025,0
BTC/USDT,2025-03-14 16:00:00+00:00,0,0,24.90635348360325,0.1763205159825962,-0.32522022757293684,73.92117688484353,1.9257360995784243,1.0028214188665934,0.9027265396710429,0.05484414160157394,1
BTC/USDT,2025-03-13 14:00:00+00:00,0,0,10.407855701989075,0.36651036999905834,-0.4251107562356026,41.208239540629286,1.8543483272559802,0.6366780801288113,0.5384131269543334,-0.007493524040321025,0
BTC/USDT,2025-03-19 19:00:00+00:00,0,0,33.64790980101524,0.9999999999739476,0.3240584595988314,69.9131326958568,2.051479788982736,1.3349785247547075,0.892713702457371,0.03286403934085505,1
BTC/USDT,2025-03-21 12:00:00+00:00,0,0,19.36073003650072,0.2734013275497553,-0.5108453035650283,36.08852240392984,1.8021722099620645,0.5215266737778945,0.022089348630371545,-0.003985942580613506,0
BTC/USDT,2025-03-28 11:00:00+00:00,0,1,28.85247249913696,0.48154349172064986,-0.15798850926996613,31.515797949370693,1.570049524693094,0.9685071147340908,0.13158526046189797,-0.019762326863627423,0
BTC/USDT,2025-04-04 11:00:00+00:00,0,1,15.583143414899448,0.512295324833819,0.28617776187882815,45.68747157169017,2.061151007218694,0.7486686007327444,0.2015720095047686,0.007815034036731897,0
BTC/USDT,2025-04-09 18:00:00+00:00,0,0,23.111773066468636,0.8614615766552794,0.7676340110126672,68.9108801166308,2.2399296194165466,1.4189052888126716,0.856436081241509,0.06590747102776026,1
